# Fiecare aliment din FNDDS, cu litera și punctajul pe care i le dă motorul.
# Generat de tools/CatalogueSnapshotQuery — nu se editează de mână.
# Calibrare: FNDDS 2021-2023, măsurată 2026-08-24
# Descrierea e ultima coloană și conține virgule: se citește ca rest de linie.
fdcId,Weight Loss grade,Weight Loss score,Fitness grade,Fitness score,GLP-1 grade,GLP-1 score,description
2705384,A,72.6,C,54.2,A,74.0,Milk, NFS
2705385,B,65.0,C,48.5,B,67.7,Milk, whole
2705386,A,74.6,C,55.7,A,75.4,Milk, reduced fat (2%)
2705387,A,76.9,B,57.2,A,77.7,Milk, low fat (1%)
2705388,A,79.6,B,59.2,A,80.2,Milk, fat free (skim)
2705389,A,76.9,B,57.2,A,77.7,Milk, lactose free, low fat (1%)
2705390,A,79.6,B,59.2,A,80.2,Milk, lactose free, fat free (skim)
2705391,A,74.6,C,55.7,A,75.4,Milk, lactose free, reduced fat (2%)
2705392,B,65.0,C,48.5,B,67.7,Milk, lactose free, whole
2705393,A,76.1,C,56.7,A,76.5,Buttermilk
2705394,A,76.4,B,57.9,A,76.5,Kefir
2705395,B,63.7,C,49.0,B,65.8,Goat milk
2705396,A,79.7,B,58.5,A,80.2,Milk, dry, reconstituted, nonfat
2705397,B,61.0,C,48.6,B,63.6,Milk, dry, reconstituted, whole
2705398,C,52.5,C,52.4,C,53.4,Milk, evaporated, NS as to fat content
2705399,C,52.5,C,52.4,C,53.4,Milk, evaporated, whole
2705400,A,72.9,B,67.5,A,73.0,Milk, evaporated, reduced fat (2%)
2705401,A,77.9,B,70.7,A,78.1,Milk, evaporated, fat free (skim)
2705402,E,28.1,D,40.6,E,26.2,Milk, condensed, sweetened
2705403,A,77.3,C,51.4,A,77.4,Non-dairy milk, NFS
2705404,A,74.5,C,56.1,A,74.9,Soy milk, sweetened
2705405,A,79.3,B,59.3,A,79.6,Soy milk, unsweetened
2705406,B,70.4,C,53.5,B,70.5,Soy milk, chocolate
2705407,A,78.1,C,50.2,A,78.2,Almond milk, sweetened
2705408,A,73.7,C,47.7,A,73.7,Almond milk, chocolate
2705409,A,79.2,C,51.1,A,79.3,Almond milk, unsweetened
2705410,A,78.9,C,50.9,A,78.9,Almond milk, NFS
2705411,B,69.7,D,44.0,B,70.2,Rice milk
2705412,B,69.5,D,44.5,A,71.2,Oat milk
2705413,B,71.3,D,44.2,A,72.2,Coconut milk
2705414,B,64.0,B,58.5,B,63.4,Yogurt, NFS
2705415,A,72.4,B,70.8,A,71.6,Yogurt, Greek, NS as to type of milk or flavor
2705416,B,60.3,C,50.7,B,60.6,Yogurt, NS as to type of milk or flavor
2705417,A,74.4,B,61.1,A,74.9,Yogurt, NS as to type of milk, plain
2705418,C,58.3,D,46.1,B,60.9,Yogurt, whole milk, plain
2705419,A,74.4,B,61.1,A,74.9,Yogurt, low fat milk, plain
2705420,A,76.8,B,59.6,A,77.4,Yogurt, nonfat milk, plain
2705421,A,83.2,A,80.5,A,81.7,Yogurt, Greek, NS as to type of milk, plain
2705422,B,67.8,B,66.4,B,65.8,Yogurt, Greek, whole milk, plain
2705423,A,83.2,A,80.5,A,81.7,Yogurt, Greek, low fat milk, plain
2705424,A,86.1,A,82.6,A,85.2,Yogurt, Greek, nonfat milk, plain
2705425,B,60.3,C,50.7,B,60.6,Yogurt, NS as to type of milk, fruit
2705426,C,45.8,D,37.4,C,47.0,Yogurt, whole milk, fruit
2705427,B,60.3,C,50.7,B,60.6,Yogurt, low fat milk, fruit
2705428,A,76.2,B,57.4,A,76.9,Yogurt, nonfat milk, fruit
2705429,A,72.4,B,70.8,A,71.6,Yogurt, Greek, NS as to type of milk, fruit
2705430,B,58.8,B,58.2,B,58.6,Yogurt, Greek, whole milk, fruit
2705431,A,72.4,B,70.8,A,71.6,Yogurt, Greek, low fat milk, fruit
2705432,A,76.4,A,73.6,A,75.9,Yogurt, Greek, nonfat milk, fruit
2705433,B,63.1,C,52.0,B,63.7,Yogurt, NS as to type of milk, flavors other than fruit
2705434,C,48.1,D,38.0,C,49.9,Yogurt, whole milk, flavors other than fruit
2705435,B,63.1,C,52.0,B,63.7,Yogurt, low fat milk, flavors other than fruit
2705436,A,75.8,B,57.2,A,76.6,Yogurt, nonfat milk, flavors other than fruit
2705437,A,75.5,A,72.3,A,74.8,Yogurt, Greek, NS as to type of milk, flavors other than fruit
2705438,B,60.7,B,59.0,B,60.8,Yogurt, Greek, whole milk, flavors other than fruit
2705439,A,75.5,A,72.3,A,74.8,Yogurt, Greek, low fat milk, flavors other than fruit
2705440,A,79.1,A,74.9,A,78.6,Yogurt, Greek, nonfat milk, flavors other than fruit
2705441,B,60.1,B,64.5,B,59.1,Yogurt, Greek, with oats
2705442,B,63.3,C,49.5,B,64.1,Yogurt, liquid
2705443,B,63.9,C,52.2,B,64.3,Yogurt tube
2705444,E,30.1,D,40.0,E,29.6,Chipotle dip, yogurt based
2705445,D,32.5,D,38.1,D,32.1,Onion dip, yogurt based
2705446,D,32.3,D,43.1,D,31.4,Ranch dip, yogurt based
2705447,D,36.6,D,41.8,D,35.4,Spinach dip, yogurt based
2705448,C,50.1,D,43.5,C,48.9,Tzatziki dip
2705449,E,31.5,D,41.6,E,30.6,Vegetable dip, yogurt based
2705450,B,62.8,C,55.3,B,62.1,Yogurt parfait, with fruit
2705451,D,33.5,E,29.0,D,31.5,Frozen yogurt, NFS
2705452,D,33.5,E,29.0,D,31.5,Frozen yogurt, vanilla
2705453,D,39.0,D,33.8,D,35.9,Frozen yogurt, chocolate
2705454,E,28.4,E,29.0,E,26.3,Frozen yogurt, soft serve, vanilla
2705455,D,32.6,D,33.2,E,29.5,Frozen yogurt, soft serve, chocolate
2705456,E,22.4,E,25.4,E,21.4,Frozen yogurt sandwich
2705457,D,33.5,E,29.0,D,31.5,Frozen yogurt bar, vanilla
2705458,D,39.0,D,33.8,D,35.9,Frozen yogurt bar, chocolate
2705459,D,36.2,D,32.8,D,33.2,Frozen yogurt cone, chocolate
2705460,E,30.9,E,28.2,E,29.0,Frozen yogurt cone, vanilla
2705461,E,30.3,E,28.2,E,29.1,Frozen yogurt cone, vanilla, waffle cone
